rank,db,smiles,canon,component,n_atoms,est_cost_h,is_validation
16,PI1M,CCCC#CC#CC#CCC/C=C/c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(C)c(=O)c5cc4c3=O)cc2)cc1,CCCC#CC#CC#CCC/C=C/c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(C)c(=O)c5cc4c3=O)cc2)cc1,dopt,68.0,4.947342301951497,False
17,PI1M,CCC(C)(C#N)C(=O)OCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCOC(=O)C(C)(C#N)CC,coverage,78.0,7.155788006079488,False
18,OMG,*Oc1ccc(C=Nc2ccccc2N=Cc2ccc(OC(=O)c3ccccc3Nc3c(OC)cccc3C(*)=O)cc2)cc1,COc1ccc(C=Nc2ccccc2N=Cc2ccc(OC(=O)c3ccccc3Nc3c(OC)cccc3C(C)=O)cc2)cc1,coverage,76.0,6.672852850107062,False
19,OMG,*Oc1ccccc1COC(=O)C1CSCC(C(*)=O)N1,COc1ccccc1COC(=O)C1CSCC(C(C)=O)N1,coverage,40.0,1.187037287474881,False
20,PI1M,Cc1ccc(C)c(Oc2ccccc2)c1,Cc1ccc(C)c(Oc2ccccc2)c1,coverage,29.0,0.49977393112088747,False
21,PI1M,COc1ccc(-n2on2-c2ccc(C)s2)cc1,COc1ccc(-n2on2-c2ccc(C)s2)cc1,feature,29.0,0.49977393112088747,False
22,OMG,*OCCN(CCOC(=O)C1CSCC(C(*)=O)N1)C(=O)C(C)C(=O)OCC,CCOC(=O)C(C)C(=O)N(CCOC)CCOC(=O)C1CSCC(C(C)=O)N1,random,58.0,3.2251081841016833,True
23,OMG,*OCCCCCCCCCCCCCCCCCCCCOC(=O)C1CCC(C(*)=O)S1,COCCCCCCCCCCCCCCCCCCCCOC(=O)C1CCC(C(C)=O)S1,coverage,85.0,9.016954844909401,False
24,PI1M,COc1ccc(/N=N/c2ccc(OC(=O)/C=C/c3ccc(C(C)=O)cc3)cc2)cc1,COc1ccc(/N=N/c2ccc(OC(=O)/C=C/c3ccc(C(C)=O)cc3)cc2)cc1,coverage,50.0,2.1634770685187323,False
25,OMG,*OC1(C2(COC(=O)CC3(CC(*)=O)CCOCC3)CCCC2)CCC1,COC1(C2(COC(=O)CC3(CC(C)=O)CCOCC3)CCCC2)CCC1,coverage,60.0,3.533050524994261,False
26,OMG,*OC1CCCCC1C1CCCCC1OC(=O)C1=C(C(*)=O)CSC1,COC1CCCCC1C1CCCCC1OC(=O)C1=C(C(C)=O)CSC1,coverage,55.0,2.7957518399460364,False
27,PI1M,CCC(C)(C)COC(=O)c1ccccc1NC(=O)c1ccc(C(=O)OC)cc1,CCC(C)(C)COC(=O)c1ccccc1NC(=O)c1ccc(C(=O)OC)cc1,random,53.0,2.5306091492877196,True
28,PI1M,CCC(C)c1ccc(C(=C)C[SiH2])cc1,C=C(C[SiH2])c1ccc(C(C)CC)cc1,dopt,33.0,0.707498434008989,False
29,PI1M,CCCCCCC(=O)Nc1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(C(C)(C)c3ccc(C(C)=O)cc3)cc2)cc1,CCCCCCC(=O)Nc1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(C(C)(C)c3ccc(C(C)=O)cc3)cc2)cc1,coverage,100.0,13.96120758869343,False
30,OMG,*Oc1cc(Br)cc(COC(=O)c2[nH]c(C(F)(F)F)nc2C(*)=O)n1,COc1cc(Br)cc(COC(=O)c2[nH]c(C(F)(F)F)nc2C(C)=O)n1,random,36.0,0.8940806826961882,True
31,OMG,*OC1C2CC(CN(C(=O)OC(C)(C)C)C2)C1OC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(*)=O,COC1C2CC(CN(C(=O)OC(C)(C)C)C2)C1OC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(C)=O,coverage,138.0,33.20455979936244,False
32,PI1M,CCc1ccc(N=C)cc1S#C,C#Sc1cc(N=C)ccc1CC,feature,23.0,0.2678988587629254,False
33,PI1M,CCC(C)C(=O)OCC1CCCC1,CCC(C)C(=O)OCC1CCCC1,coverage,33.0,0.707498434008989,False
34,PI1M,Cc1cc([SH](=O)O)c(C)s1,Cc1cc([SH](=O)O)c(C)s1,feature,19.0,0.16023971771432066,False
35,PI1M,Cc1ccc(OCCCCCCCCCCCCC)cc1C,CCCCCCCCCCCCCOc1ccc(C)c(C)c1,coverage,58.0,3.2251081841016833,False
36,PI1M,CCCCCCCCCCNC(=O)C1CCN(C)CC1,CCCCCCCCCCNC(=O)C1CCN(C)CC1,coverage,54.0,2.6611061495015087,False
37,PI1M,CCCCCCCCCCCCCCCCCSCCCCCCOC(=O)C(CCCCCC)C(=O)OC,CCCCCCCCCCCCCCCCCSCCCCCCOC(=O)C(CCCCCC)C(=O)OC,coverage,102.0,14.725072667614862,False
38,PI1M,CO[Si](C)(C)O[Si](C)(C)OCCCCC,CCCCCO[Si](C)(C)O[Si](C)(C)OC,coverage,41.0,1.2685615949723126,False
39,PI1M,CCC/C=C/C(C#N)c1ccc(Cc2ccc(C(CN(C)SC)c3ccc(C)c(C(C)C)c3)cc2)cc1,CCC/C=C/C(C#N)c1ccc(Cc2ccc(C(CN(C)SC)c3ccc(C)c(C(C)C)c3)cc2)cc1,random,79.0,7.405252308862643,True
40,omics,*CC(*)(CCC)CCCCCC,CCCCCCC(C)(CC)CCC,coverage,41.0,1.2685615949723126,False
41,omics,*c1ccc(C)c(-c2nc(CN3C(=O)c4ccc(C(=O)Oc5ccc(OC(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4C3=O)cs2)c1,Cc1ccc(C)c(-c2nc(CN3C(=O)c4ccc(C(=O)Oc5ccc(OC(=O)c6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4C3=O)cs2)c1,random,74.0,6.210925368545501,True
42,PolyInfo,*c1cccc(Oc2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,Cc1cccc(Oc2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)c2)c1,coverage,58.0,3.2251081841016833,False
43,PI1M,CCCCCCCCCC(O)CN(C)c1ccccc1,CCCCCCCCCC(O)CN(C)c1ccccc1,coverage,51.0,2.2818482460254073,False
44,OMG,*Oc1ccccc1C=NNC(=O)c1ccc(C(=O)NN=Cc2ccccc2OC(=O)C2CC(C(*)=O)N(C(=O)OC(C)(C)C)N2C(=O)OC(C)(C)C)o1,COc1ccccc1C=NNC(=O)c1ccc(C(=O)NN=Cc2ccccc2OC(=O)C2CC(C(C)=O)N(C(=O)OC(C)(C)C)N2C(=O)OC(C)(C)C)o1,dopt,96.0,12.509288293103786,False
45,OMG,*OC(COC(=O)C1CSC(C)(C(*)=O)N1)c1cccc(Br)c1,COC(COC(=O)C1CSC(C)(C(C)=O)N1)c1cccc(Br)c1,random,43.0,1.4419597242422257,True
46,PI1M,CSc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(-c4ccc(C(C)=O)cc4)cc3)cc2)cc1,CSc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(-c4ccc(C(C)=O)cc4)cc3)cc2)cc1,coverage,59.0,3.3768743086298603,False
47,PI1M,COC=C[Si](C)(C)CC[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,COC=C[Si](C)(C)CC[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,dopt,59.0,3.3768743086298603,False
48,OMG,*Oc1ccc(Cc2ccc(OC(=O)C(CS)NCCNC(CS)C(*)=O)cc2)cc1,COc1ccc(Cc2ccc(OC(=O)C(CS)NCCNC(CS)C(C)=O)cc2)cc1,coverage,61.0,3.6936882750981668,False
49,PI1M,CNNC(=O)Cc1ccccc1C,CNNC(=O)Cc1ccccc1C,coverage,27.0,0.41237422298650106,False
50,OMG,*Oc1ccc2cc(OC(=O)COCCOCCOCCOCCOCCOCC(*)=O)ccc2c1,COc1ccc2cc(OC(=O)COCCOCCOCCOCCOCCOCC(C)=O)ccc2c1,coverage,72.0,5.769622518212583,False
51,PI1M,CCCCCNC(=O)NC(Cc1ccccc1)C(Cc1ccc(C)cc1)C(C)=O,CCCCCNC(=O)NC(Cc1ccccc1)C(Cc1ccc(C)cc1)C(C)=O,random,63.0,4.0285528241783775,True
52,PI1M,C/C=C/C(C)C(=O)OCCCCCCCCCCCCCCCC,C/C=C/C(C)C(=O)OCCCCCCCCCCCCCCCC,random,66.0,4.5655822516472835,True
53,PI1M,CNC(CCC(C)=O)C(=O)OCCCCCCCCC,CCCCCCCCCOC(=O)C(CCC(C)=O)NC,coverage,51.0,2.2818482460254073,False
54,PI1M,C/C=C(/C)CC(=O)Nc1ccc(-c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1,C/C=C(/C)CC(=O)Nc1ccc(-c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1,coverage,53.0,2.5306091492877196,False
55,PI1M,COC(C)COC(=O)CC(C)(C)CC(C)=O,COC(C)COC(=O)CC(C)(C)CC(C)=O,coverage,38.0,1.0340483823546922,False
56,PI1M,CC(=O)Nc1cccc(C(=O)Nc2cccc(N3C(=O)c4ccc(C)cc4C3=O)c2)c1,CC(=O)Nc1cccc(C(=O)Nc2cccc(N3C(=O)c4ccc(C)cc4C3=O)c2)c1,coverage,50.0,2.1634770685187323,False
57,PI1M,CCC(CCSBr)(CSC)CC(C)(O)OC(C)CC,CCC(C)OC(C)(O)CC(CC)(CCSBr)CSC,feature,48.0,1.9384826272146733,False
58,OMG,*OCC(OC(=O)c1cc(COC2CCCCO2)cc(C(*)=O)c1)c1c(Cl)cccc1OC,COCC(OC(=O)c1cc(COC2CCCCO2)cc(C(C)=O)c1)c1c(Cl)cccc1OC,random,62.0,3.858838735716932,True
59,PI1M,CCC(C)CCC(=O)Oc1ccc(C(C)(C)C)cc1,CCC(C)CCC(=O)Oc1ccc(C(C)(C)C)cc1,coverage,45.0,1.629538578803666,False
60,OMG,*Oc1c(OC(=O)C(Cc2cccc(C)c2)C(*)=O)ccc(C(=O)OC)c1C#N,COC(=O)c1ccc(OC(=O)C(Cc2cccc(C)c2)C(C)=O)c(OC)c1C#N,random,50.0,2.1634770685187323,True
61,OMG,*NN1c2nonc2N(NC(=O)C2CC(C)=C(C)CC2C(*)=O)c2nonc21,CNN1c2nonc2N(NC(=O)C2CC(C)=C(C)CC2C(C)=O)c2nonc21,dopt,48.0,1.9384826272146733,False
62,PI1M,COc1ccc(C(=O)OCCN(C)c2ccc(OC(=O)CCCCC(C)=O)cc2)cc1,COc1ccc(C(=O)OCCN(C)c2ccc(OC(=O)CCCCC(C)=O)cc2)cc1,random,60.0,3.533050524994261,True
63,PI1M,CCCCCCCCCCCOC(=O)C(C)NC(=O)CCCCC(=O)OC,CCCCCCCCCCCOC(=O)C(C)NC(=O)CCCCC(=O)OC,coverage,66.0,4.5655822516472835,False
64,PI1M,CNc1cc(CCCCCCCCC)c(C)cc1CC,CCCCCCCCCc1cc(NC)c(CC)cc1C,coverage,53.0,2.5306091492877196,False
65,OMG,*Oc1nn(Cc2ccc(OC(=O)C3NC(C(*)=O)CS3)cc2)cc1C(=O)OC,COC(=O)c1cn(Cc2ccc(OC(=O)C3NC(C(C)=O)CS3)cc2)nc1OC,random,50.0,2.1634770685187323,True
66,PI1M,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,coverage,97.0,12.862901673682583,False
67,PI1M,CN=P(C)(OCO[Si](C)(C)SBr)[Si](CCC)OCCOCCOCCOCCOC,CCC[Si](OCCOCCOCCOCCOC)P(C)(=NC)OCO[Si](C)(C)SBr,feature,70.0,5.348558032191515,False
68,PI1M,Cc1cc(I)c(N=C)nn1,C=Nc1nnc(C)cc1I,feature,16.0,0.1009266220636141,False
69,omics,*C(Cl)C(*)(F)Cl,CC(Cl)C(C)(F)Cl,coverage,14.0,0.07047050774391327,False
70,PI1M,CCC1(CCCCCCCC)CC1C,CCCCCCCCC1(CC)CC1C,coverage,42.0,1.3535165667832443,False
71,PolyInfo,*/C=C/C(C)(C(=O)OC)C(*)C,C/C=C/C(C)(C(=O)OC)C(C)C,coverage,30.0,0.5474937425136082,False
72,OMG,*OC(C1COC(C)(C)O1)C(C)(OC(=O)CC(CC(*)=O)C1CCOCC1)C(=O)OCC,CCOC(=O)C(C)(OC(=O)CC(CC(C)=O)C1CCOCC1)C(OC)C1COC(C)(C)O1,coverage,70.0,5.348558032191515,False
73,PI1M,CCC(CCl)(COC)CS(=O)(=O)O,CCC(CCl)(COC)CS(=O)(=O)O,coverage,28.0,0.4547556347186134,False
74,PI1M,CCC(C)P(=O)(Cl)Cl,CCC(C)P(=O)(Cl)Cl,feature,17.0,0.11880386870633687,False
75,PI1M,CCc1cccc(CN(C)CC)c1,CCc1cccc(CN(C)CC)c1,coverage,32.0,0.6512930237899227,False
76,OMG,*OC(C(=O)CC(=O)ON1C(=O)CCC1=O)C(OC(=O)C1C2OC(C3OC32)C1C(*)=O)C(=O)CC(=O)ON1C(=O)CCC1=O,COC(C(=O)CC(=O)ON1C(=O)CCC1=O)C(OC(=O)C1C2OC(C3OC32)C1C(C)=O)C(=O)CC(=O)ON1C(=O)CCC1=O,dopt,70.0,5.348558032191515,False
77,PolyInfo,*OC(=O)CCCCCCCCCCC(*)=O,COC(=O)CCCCCCCCCCC(C)=O,coverage,43.0,1.4419597242422257,False
78,PolyInfo,*CC/C=C(/*)CCC,CCC/C=C(/C)CCC,coverage,27.0,0.41237422298650106,False
79,PI1M,CCC(C)(C)CCCP(C)(=O)[Si](O)(Cl)Cl,CCC(C)(C)CCCP(C)(=O)[Si](O)(Cl)Cl,feature,36.0,0.8940806826961882,False
80,PI1M,CCCCCCC[Si](C)(C)CCCOc1ccc([N+](=O)[O-])cc1,CCCCCCC[Si](C)(C)CCCOc1ccc([N+](=O)[O-])cc1,coverage,54.0,2.6611061495015087,False
81,PI1M,COC(=O)OCCCCCCNC(=O)SNC(=O)CC(=O)NN(C(C)=O)c1ccc(/N=N/c2ccccc2)cc1,COC(=O)OCCCCCCNC(=O)SNC(=O)CC(=O)NN(C(C)=O)c1ccc(/N=N/c2ccccc2)cc1,random,72.0,5.769622518212583,True
82,PI1M,COC(=O)c1ccc(-c2ccc(C(=O)OCCOC(=O)CCCCCCC(=O)OCCOC(C)=O)cc2)cc1,COC(=O)c1ccc(-c2ccc(C(=O)OCCOC(=O)CCCCCCC(=O)OCCOC(C)=O)cc2)cc1,random,73.0,5.987719929256527,True
83,OMG,*OCC(COC(=O)c1cccnc1NCC(*)=O)c1cccc(Br)c1,COCC(COC(=O)c1cccnc1NCC(C)=O)c1cccc(Br)c1,random,47.0,1.8317500939966918,True
84,OMG,*Oc1cc(OC(=O)CCOCCOCCOCCOCCOCCOCCOCCC(*)=O)c(Br)cc1SC,COc1cc(OC(=O)CCOCCOCCOCCOCCOCCOCCOCCC(C)=O)c(Br)cc1SC,random,83.0,8.457520383218988,True
85,omics,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)cc3)cc2)cc1,coverage,68.0,4.947342301951497,False
86,PolyInfo,*CCOC(=O)O*,CCCOC(=O)OC,coverage,18.0,0.1385498383381463,False
87,OMG,*OCCCOCCCOCCCOCCCOCCCOC(=O)C1CCC(C(*)=O)CO1,COCCCOCCCOCCCOCCCOCCCOC(=O)C1CCC(C(C)=O)CO1,random,77.0,6.911670651446108,True
88,OMG,*Oc1cccc(OC(=O)C(CSCC(*)=O)NC(C)=O)c1Cl,COc1cccc(OC(=O)C(CSCC(C)=O)NC(C)=O)c1Cl,coverage,41.0,1.2685615949723126,False
89,PI1M,C/C=C/c1cc(OCC(CC)CCCCCC)c(/C=C/c2ccc(C)cc2)cc1OCCCCCC,C/C=C/c1cc(OCC(CC)CCCCCC)c(/C=C/c2ccc(C)cc2)cc1OCCCCCC,coverage,86.0,9.30515942952161,False
90,PI1M,C/C=C/c1ccc(N(C)c2ccccc2)cc1,C/C=C/c1ccc(N(C)c2ccccc2)cc1,coverage,34.0,0.7666572932453927,False
91,PI1M,CCC(CC)(CCC)COC(=O)OC,CCCC(CC)(CC)COC(=O)OC,coverage,36.0,0.8940806826961882,False
92,PI1M,CN=[PH]1C(C)=C(F)C(Cl)=C1Br,CN=[PH]1C(C)=C(F)C(Cl)=C1Br,feature,18.0,0.1385498383381463,False
93,OMG,*OCC(Cc1ccc(OC)c(OC)c1)OC(=O)C1CC(C(*)=O)CO1,COCC(Cc1ccc(OC)c(OC)c1)OC(=O)C1CC(C(C)=O)CO1,random,52.0,2.404207673904035,True
94,PI1M,CNC(=O)C(C)/C=C/C=C(\C)C#SC[Si](C)(C)CCC(=O)NCCc1ccc(OC(=O)/C=C/C(=O)OCc2ccccc2C)cc1,CNC(=O)C(C)/C=C/C=C(\C)C#SC[Si](C)(C)CCC(=O)NCCc1ccc(OC(=O)/C=C/C(=O)OCc2ccccc2C)cc1,dopt,92.0,11.156095933866299,False
95,OMG,*OC(c1ccccc1)(c1ccccc1)c1ccc(C(OC(=O)CCOCCOCCOCCOCCOCCOCCOCCC(*)=O)(c2ccccc2)c2ccccc2)cc1,COC(c1ccccc1)(c1ccccc1)c1ccc(C(OC(=O)CCOCCOCCOCCOCCOCCOCCOCCC(C)=O)(c2ccccc2)c2ccccc2)cc1,coverage,125.0,25.445495929804235,False
96,OMG,*Oc1cc(N)c(OC(=O)CC2CS(=O)(=O)CC2CC(*)=O)cc1C(=O)OC,COC(=O)c1cc(OC(=O)CC2CS(=O)(=O)CC2CC(C)=O)c(N)cc1OC,random,51.0,2.2818482460254073,True
97,PI1M,CCC(F)(F)C(F)(F)C(F)(F)C(=O)N(C)C(C)C,CCC(F)(F)C(F)(F)C(F)(F)C(=O)N(C)C(C)C,coverage,33.0,0.707498434008989,False
98,PI1M,COC1CCCCC(COC(C)=O)C1,COC1CCCCC(COC(C)=O)C1,coverage,34.0,0.7666572932453927,False
99,OMG,*Oc1cc(NC(C)=O)cc(OC(=O)C(C)(Cc2ccc(OC)cc2)C(*)=O)c1,COc1ccc(CC(C)(C(C)=O)C(=O)Oc2cc(NC(C)=O)cc(OC)c2)cc1,random,54.0,2.6611061495015087,True
100,PI1M,CO[Si](C)(C)S[Si](C)(O)Cl,CO[Si](C)(C)S[Si](C)(O)Cl,feature,23.0,0.2678988587629254,False
101,PI1M,CNC(CCCCNC(C)=O)C(C)(C)C,CNC(CCCCNC(C)=O)C(C)(C)C,coverage,41.0,1.2685615949723126,False
102,PI1M,CCC(OC(C)(C)C)C(C)OC,CCC(OC(C)(C)C)C(C)OC,coverage,34.0,0.7666572932453927,False
103,PI1M,CCCN(C)C(=O)OC,CCCN(C)C(=O)OC,coverage,22.0,0.23770591902308572,False
104,OMG,*Oc1cc(OC(=O)C(C(*)=O)C2CCc3ccccc32)cc(C(C)=NNS(=O)(=O)c2ccccc2)c1,COc1cc(OC(=O)C(C(C)=O)C2CCc3ccccc32)cc(C(C)=NNS(=O)(=O)c2ccccc2)c1,coverage,65.0,4.381874289318153,False
105,PI1M,CCC(C)(C)C(=O)OC(Cl)C1COC(C)C(C)C1,CCC(C)(C)C(=O)OC(Cl)C1COC(C)C(C)C1,random,43.0,1.4419597242422257,True
106,PI1M,CCCc1ccc(C)c(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(CCC)ccc1C,coverage,61.0,3.6936882750981668,False
107,OMG,*OC1CCC1OC(=O)C(OC(=O)c1ccc(C)cc1)C(OC(=O)c1ccc(C)cc1)C(*)=O,COC1CCC1OC(=O)C(OC(=O)c1ccc(C)cc1)C(OC(=O)c1ccc(C)cc1)C(C)=O,coverage,62.0,3.858838735716932,False
108,OMG,*Oc1c(N)ccc(Cl)c1OC(=O)C1=C(C(*)=O)CC(C)=C(C)C1,COc1c(N)ccc(Cl)c1OC(=O)C1=C(C(C)=O)CC(C)=C(C)C1,random,44.0,1.5339481655863532,True
109,OMG,*OC1(CC#N)C=C(Br)C(OC)=C(Br)C1OC(=O)c1cccnc1NCC(*)=O,COC1=C(Br)C(OC(=O)c2cccnc2NCC(C)=O)C(CC#N)(OC)C=C1Br,coverage,48.0,1.9384826272146733,False
110,PI1M,CCCCCCCCCCCOC(=O)c1cc(S(=O)c2ccc(C)cc2)ccc1O,CCCCCCCCCCCOC(=O)c1cc(S(=O)c2ccc(C)cc2)ccc1O,random,64.0,4.202881203832011,True
111,OMG,*Oc1ccccc1Oc1ccccc1OC(=O)C12CCCC(C(*)=O)(C1)C2,COc1ccccc1Oc1ccccc1OC(=O)C12CCCC(C(C)=O)(C1)C2,coverage,52.0,2.404207673904035,False
112,OMG,*Nc1ccccc1NC(=O)C1CC(C)=C(C)CC1C(*)=O,CNc1ccccc1NC(=O)C1CC(C)=C(C)CC1C(C)=O,coverage,46.0,1.7287872538090088,False
113,OMG,*OC(CSc1nc2ccccc2s1)C(CCl)OC(=O)CC1CS(=O)(=O)CC1CC(*)=O,COC(CSc1nc2ccccc2s1)C(CCl)OC(=O)CC1CS(=O)(=O)CC1CC(C)=O,random,58.0,3.2251081841016833,True
114,PI1M,CCc1ccccc1CCCCOC(=O)CCCCCCCCCCC(=O)OC,CCc1ccccc1CCCCOC(=O)CCCCCCCCCCC(=O)OC,coverage,69.0,5.145493557044269,False
115,PI1M,CC(C)c1ccc(C(C)CC)nn1,CCC(C)c1ccc(C(C)C)nn1,coverage,31.0,0.597979011686388,False
116,PI1M,CNc1cc(C(C)=O)c(C)cc1C,CNc1cc(C(C)=O)c(C)cc1C,coverage,28.0,0.4547556347186134,False
117,PI1M,CC(F)(F)C(C)(F)[Si](F)(F)Cl,CC(F)(F)C(C)(F)[Si](F)(F)Cl,feature,17.0,0.11880386870633687,False
118,OMG,*OC(C1COC2(CCCCC2)O1)C(OC(=O)c1cccc(F)c1CC(*)=O)C1COC2(CCCCC2)O1,COC(C1COC2(CCCCC2)O1)C(OC(=O)c1cccc(F)c1CC(C)=O)C1COC2(CCCCC2)O1,coverage,77.0,6.911670651446108,False
119,omics,*CCCC(*)(C)CCCCCCCC,CCCCCCCCC(C)(C)CCCC,coverage,47.0,1.8317500939966918,False
120,OMG,*Oc1cnncc1OC(=O)CCOCCOCCOCCOCCOCCOCCC(*)=O,COc1cnncc1OC(=O)CCOCCOCCOCCOCCOCCOCCC(C)=O,coverage,70.0,5.348558032191515,False
121,OMG,*Oc1cc(OC(=O)C(CS)NCCNC(CS)C(*)=O)ccc1C(=O)CC,CCC(=O)c1ccc(OC(=O)C(CS)NCCNC(CS)C(C)=O)cc1OC,random,56.0,2.934599081644776,True
122,PI1M,CCCCCCCCCC(F)(F)C(=O)NC,CCCCCCCCCC(F)(F)C(=O)NC,coverage,39.0,1.1088856862834737,False
123,PI1M,CCC(COC)C(=O)OC,CCC(COC)C(=O)OC,coverage,24.0,0.30039397989449834,False
124,OMG,*Oc1ccc(C)cc1Sc1cc(C)ccc1OC(=O)CC(CC(*)=O)C1CCOCC1,COc1ccc(C)cc1Sc1cc(C)ccc1OC(=O)CC(CC(C)=O)C1CCOCC1,random,64.0,4.202881203832011,True
125,PI1M,COc1ccc(NC(=O)/C=C/c2ccc(/C=C/C(=O)Oc3ccc(C(C)(C)c4ccc(C)c(C(C)C)c4)cc3)cc2)cc1,COc1ccc(NC(=O)/C=C/c2ccc(/C=C/C(=O)Oc3ccc(C(C)(C)c4ccc(C)c(C(C)C)c4)cc3)cc2)cc1,random,82.0,8.18619805320074,True
126,PI1M,CC(=O)Nc1ccc(CNC(=O)CNc2ccc(N(C)c3ccccc3)cc2)cc1,CC(=O)Nc1ccc(CNC(=O)CNc2ccc(N(C)c3ccccc3)cc2)cc1,random,56.0,2.934599081644776,True
127,PI1M,CCC(C)(COC)C(=O)O,CCC(C)(COC)C(=O)O,coverage,24.0,0.30039397989449834,False
